ds,Type,Max_Temp,Min_Temp,Temp_Range,Precipitation,Humidity
1998-09,Historical,30.401999999999997,25.965333333333334,4.436666666666664,5.912000000000001,87.83033333333333
1998-10,Historical,30.70225806451613,25.16322580645161,5.53903225806452,3.762903225806452,84.48
1998-11,Historical,29.238,21.180333333333333,8.057666666666666,3.947666666666666,81.979
1998-12,Historical,25.11032258064516,14.850645161290323,10.259677419354837,0.0,77.53354838709677
1999-01,Historical,24.646774193548385,12.712903225806452,11.933870967741933,0.0,68.03354838709677
1999-02,Historical,30.328928571428573,17.134642857142858,13.194285714285716,0.016071428571428573,52.70642857142857
1999-03,Historical,33.23225806451613,21.05322580645161,12.17903225806452,0.01806451612903226,57.77129032258065
1999-04,Historical,35.76533333333334,25.872333333333334,9.893000000000004,0.18766666666666668,64.726
1999-05,Historical,32.153225806451616,26.63064516129032,5.522580645161295,6.638064516129032,75.87032258064517
1999-06,Historical,31.711000000000002,26.491333333333333,5.219666666666669,7.166,82.07733333333334
1999-07,Historical,29.885806451612904,26.02,3.8658064516129045,17.39774193548387,89.58032258064517
1999-08,Historical,29.456129032258065,25.750967741935483,3.7051612903225823,21.678709677419352,90.80225806451612
1999-09,Historical,29.191333333333333,25.332,3.859333333333332,7.792,89.712
1999-10,Historical,29.220000000000002,24.539032258064516,4.680967741935486,3.4132258064516128,86.15741935483871
1999-11,Historical,27.356333333333332,18.767,8.589333333333332,0.06966666666666667,81.95533333333333
1999-12,Historical,25.029677419354837,15.917741935483871,9.111935483870965,1.9274193548387097,79.67774193548388
2000-01,Historical,24.573225806451614,13.084193548387097,11.489032258064517,0.44870967741935486,70.04774193548387
2000-02,Historical,27.11344827586207,14.853793103448275,12.259655172413794,0.18620689655172412,56.30241379310345
2000-03,Historical,31.50483870967742,20.14548387096774,11.359354838709677,1.1816129032258065,65.06161290322581
2000-04,Historical,32.807,24.275333333333332,8.53166666666667,2.4313333333333333,73.66499999999999
2000-05,Historical,31.21483870967742,26.014193548387098,5.200645161290321,12.935806451612903,80.33193548387096
2000-06,Historical,30.264,26.042333333333332,4.221666666666668,16.329333333333334,88.687
2000-07,Historical,30.083548387096776,26.233548387096775,3.8500000000000014,8.358064516129032,88.28258064516129
2000-08,Historical,30.291612903225804,25.96451612903226,4.327096774193546,14.22225806451613,88.70774193548387
2000-09,Historical,29.616,25.412666666666667,4.203333333333333,3.024,88.08266666666667
2000-10,Historical,30.111612903225808,24.39322580645161,5.718387096774197,4.642903225806452,83.33967741935484
2000-11,Historical,27.818666666666665,18.659666666666666,9.158999999999999,1.1226666666666667,81.12899999999999
2000-12,Historical,24.249354838709678,13.610967741935484,10.638387096774194,0.0003225806451612903,78.09677419354838
2001-01,Historical,23.784193548387094,11.600645161290323,12.18354838709677,0.0,64.63129032258064
2001-02,Historical,28.625714285714285,16.8825,11.743214285714284,0.7596428571428572,57.31535714285714
2001-03,Historical,33.21258064516129,20.636129032258065,12.576451612903224,0.12806451612903227,52.33
2001-04,Historical,34.321333333333335,25.389333333333333,8.932000000000002,1.2,63.47033333333333
2001-05,Historical,30.890645161290323,25.767096774193547,5.1235483870967755,13.111290322580645,83.36419354838709
2001-06,Historical,29.541666666666668,26.040333333333333,3.501333333333335,16.483,90.07966666666667
2001-07,Historical,29.892258064516128,25.884193548387096,4.008064516129032,9.543870967741936,89.46387096774194
2001-08,Historical,30.437419354838706,25.989032258064515,4.448387096774191,7.569354838709677,89.48838709677419
2001-09,Historical,30.386333333333333,25.720000000000002,4.666333333333331,2.472,85.61366666666666
2001-10,Historical,30.183870967741935,24.725483870967743,5.458387096774192,3.6074193548387097,83.61612903225806
2001-11,Historical,28.18,20.61733333333333,7.562666666666669,1.0779999999999998,81.91533333333334
2001-12,Historical,24.39258064516129,13.82548387096774,10.567096774193548,0.7674193548387097,78.45838709677419
2002-01,Historical,25.408709677419353,14.380967741935484,11.027741935483869,0.14612903225806453,68.76935483870967
2002-02,Historical,29.160714285714285,16.133214285714285,13.0275,0.0010714285714285715,52.2025
2002-03,Historical,32.96322580645161,21.323225806451614,11.639999999999997,1.407741935483871,53.62419354838709
2002-04,Historical,33.553333333333335,24.383666666666667,9.169666666666668,1.265,66.485
